amount,hour1,state1,zip1,custAttr1,field1,custAttr2,field2,hour2,flag1,total,field3,field4,indicator1,indicator2,flag2,flag3,flag4,flag5,fraud,day
38.85,10,CA,956,1234567890148390,2,nupxsahkygesk@yahoo.com,1,10,0,38.85,-653,20,0,0,1,0,0,1,0,34
12.95,22,CA,959,1234567890180350,1,josvmxaahgsqb3@yahoo.com,1,22,1,12.95,2847,8,0,0,1,1,0,1,0,75
38.85,20,NC,282,1234567890140300,1,fsrbvnactrmmd247@aol.com,1,20,0,38.85,2954,6,0,0,1,1,0,1,0,23
20.72,13,NC,282,1234567890124350,3,wzvvchodwnpxb@excite.com,1,13,1,20.72,1905,25,0,0,0,0,0,1,1,63
12.95,11,IL,604,1234567890167960,3,gnvruriepbdij3@sbcglobal.net,0,11,0,12.95,3663,21,0,0,1,1,0,2,0,59
31.08,18,CA,951,1234567890149930,2,mdscusuzregmk@yahoo.com,0,18,1,31.08,1377,14,0,0,1,0,0,1,0,35
38.85,16,MA,24,1234567890152180,3,kqdcmxzylzkju@countrywide.com,0,16,1,38.85,3984,9,0,0,0,0,0,1,1,38
10.36,9,MI,483,1234567890182280,3,ehwvaktpabgmf91@hotmail.com,0,9,0,10.36,3445,18,0,0,1,0,0,1,0,78
12.95,20,IL,605,1234567890196690,3,vpdeizxwkfesf@comcast.net,1,20,1,12.95,2150,11,0,0,1,0,0,1,0,98
38.85,13,GA,300,1234567890131580,3,xvofnfdkstjmn@charter.net,0,13,0,38.85,1873,7,0,0,1,0,0,1,0,13
38.85,18,WA,983,1234567890176640,0,rlksoquekknco@hotmail.com,0,18,1,38.85,-3314,9,0,0,1,0,0,1,0,70
12.95,13,CA,953,1234567890174130,3,glbjaausnsgzb6971@aol.com,1,13,0,12.95,2713,11,0,0,0,1,0,2,0,68
25.9,11,MN,559,1234567890133270,3,ywghfalmnnqge@hotmail.com,1,11,1,25.9,2490,7,0,0,1,1,0,3,0,15
38.85,17,NY,100,1234567890174590,2,dopnktqdojfls@nyu.edu,0,17,0,38.85,-10839,9,0,0,1,1,0,1,0,68
12.95,8,AR,716,1234567890137480,2,jnuoswrnimsxr@nxwgf.state,0,8,1,12.95,4320,7,0,0,0,1,0,1,1,21
12.95,0,CA,953,1234567890136020,3,ffcodavuzfwnx@charter.net,1,0,0,12.95,-1176,20,0,0,1,1,0,1,0,19
12.95,10,CA,912,1234567890190010,0,nlirhumrcqgqn@ngxzyosbsq.net,0,10,1,12.95,-620,8,0,0,0,0,1,1,0,89
49.95,8,VA,221,1234567890131260,0,kdddisvzujcym@verizon.net,0,8,0,49.95,-2893,27,0,0,1,0,1,1,0,13
12.95,22,AZ,850,1234567890146170,3,tbdhxqbpqiwgz@netzero.com,1,22,0,12.95,-5279,19,0,0,0,0,0,1,0,30
12.95,21,MD,207,1234567890185710,2,wriuyzypvfpev@verizon.net,1,21,0,12.95,4448,9,0,0,1,1,0,2,0,82
10.36,3,MA,18,1234567890148260,3,shrbolhezuyra@zpke.org,1,3,1,10.36,360,16,0,0,0,0,0,1,0,46
25.9,15,MI,482,1234567890191010,3,trhkcsmymfqwy@aol.com,1,15,1,25.9,2165,20,0,0,1,0,0,1,0,90
38.85,15,CA,905,1234567890145710,3,lzymvevqiqqyg@fdic.gov,1,15,0,38.85,-3000,15,0,0,1,0,0,1,0,42
49.95,13,NY,117,1234567890143920,3,etklmmaphaayn2001@yahoo.com,0,13,0,49.95,5796,22,0,0,1,1,0,1,0,28
12.95,3,NV,891,1234567890179190,2,qxxwgzqkhhuoj@aol.com,0,3,1,12.95,-1478,9,0,0,1,0,0,1,0,74
22.02,1,CA,912,1234567890136600,3,llbycsmwtntfi5000@hotmail.com,1,1,0,22.02,892,23,0,0,0,0,0,1,0,20
38.85,21,CA,920,1234567890182870,2,bctpwtikeyutr@aol.com,1,21,0,38.85,3376,16,0,0,1,1,0,1,0,78
38.85,16,NM,871,1234567890125790,2,yxnuevlobpgzo@msn.com,1,16,0,38.85,-567,20,0,0,0,0,0,1,0,4
49.95,13,FL,322,1234567890133390,2,rbtgwnvzryzzt70@yahoo.com,0,13,0,49.95,3520,17,0,0,0,1,0,2,1,15
0,14,OH,430,1234567890156760,4,beapxlunoahof@yahoo.com,0,14,1,0,2128,32,0,0,0,0,0,1,1,44
12.95,8,GA,306,1234567890155610,2,onckuatjhbgux@aol.com,0,8,1,12.95,-5585,10,0,0,1,1,0,2,0,43
12.95,12,MA,16,1234567890189430,3,hpllvexjcevba@yahoo.com,0,12,1,12.95,5228,9,1,0,1,1,0,1,0,88
11.01,12,LA,705,1234567890148170,3,zqdnevwxctaxq@yahoo.com,1,11,1,11.01,2153,21,0,0,1,1,0,1,0,91
11.65,23,TX,780,1234567890183840,0,pwsukpzlsladx5@stx.rr.com,1,23,0,11.65,2099,7,0,0,1,0,0,2,0,80
38.85,17,CA,926,1234567890185570,0,bpjigyprxxyke@cox.net,1,17,0,38.85,-5532,22,0,0,1,1,0,1,0,82
12.95,10,LA,707,1234567890123600,3,zpztbjnsxevmi@cox.net,0,10,1,**,2333,9,0,0,1,0,1,3,0,1
25.9,17,CA,945,1234567890156920,0,qkloxusbbnnkd@yahoo.com,1,17,1,25.9,2722,19,0,0,1,1,0,2,0,44
38.85,8,NY,103,1234567890187750,2,jkqjhnkijewbo@yahoo.com,0,8,1,38.85,-412,7,0,0,0,0,0,2,0,85
12.95,10,FL,328,1234567890128550,2,ctddtrzmmlsdy@hotmail.com,1,10,1,12.95,2417,13,0,0,1,0,0,1,0,9
12.95,15,MA,23,1234567890186260,3,lntvklaapvmft7768@msn.com,0,14,0,12.95,589,23,0,0,1,0,0,1,0,83
20.72,13,OH,432,1234567890142400,3,vtytgbhlgnlbp@optometry.osu.edu,1,13,0,20.72,6003,23,0,0,1,1,0,1,0,27
12.95,16,CA,922,1234567890173070,3,tjnxcrjblroku@comcast.net,1,16,0,12.95,3525,24,0,0,1,0,0,1,0,66
12.95,20,PA,190,1234567890161460,3,vrfnvjbxjvfdh125@aol.com,0,20,0,12.95,-2747,16,0,0,1,0,0,1,0,50
12.95,13,MD,212,1234567890187980,3,xskzcjvsbxxey@earthlink.net,1,13,1,12.95,-2231,11,0,0,0,0,0,2,0,85
38.85,12,FL,334,1234567890152040,3,bkvdtxhagvwze@jioje.com,0,12,1,38.85,457,17,0,0,1,1,0,1,0,38
12.95,20,VT,54,1234567890196710,3,mzwjojigwpqxp0010@aol.com,1,20,1,12.95,2137,9,0,0,1,1,0,2,0,98
38.85,11,FL,341,1234567890128360,0,azjlsdknycvcd@nninzedtolomwx.com,0,11,1,38.85,3629,29,0,0,0,0,0,1,0,77
,10,IN,474,1234567890145610,3,ydkitncwkonij@navy.mil,0,10,1,59.4,2623,11,0,0,1,0,0,1,0,77
0,16,LA,708,1234567890178210,4,zwzihwgzxohnq@cbbtr.com,1,16,1,0,1822,16,0,0,1,1,0,3278,1,72
38.85,17,WY,830,1234567890147980,3,oadzbspsljgmg@onewest.net,1,17,0,38.85,4172,23,0,1,0,0,0,1,0,33
49.95,15,CA,947,1234567890157580,3,ndvmiudijufui@comcast.net,0,15,0,49.95,-7626,21,0,0,1,0,0,1,0,45
38.85,9,OH,443,1234567890160040,3,rbhgzelqvfqxd@progressive.com,1,10,0,38.85,3908,29,0,0,0,0,0,1,0,49
25.9,17,CA,920,1234567890149980,3,ixhkuerllitft@clintmiller.com,0,17,1,25.9,-5426,7,0,0,0,1,0,2,1,91
34.95,19,OH,444,1234567890145220,0,dwwfyjyhauyyq1@hotmail.com,1,19,0,34.95,-2734,9,0,0,0,0,0,1,0,29
49.95,1,NY,117,1234567890149290,3,httmcrqhmlftf@aol.com,1,1,0,49.95,4754,18,0,0,1,0,0,1,0,35
38.85,11,CA,959,1234567890169360,3,floyqbeggvcdz.@greqiqy.com,0,11,0,38.85,-4597,11,0,0,0,1,0,1,0,61
38.85,19,FL,328,1234567890128210,3,dwikvlghtrtub25@aol.com,0,19,1,38.85,4603,8,0,0,0,0,0,1,0,8
0,12,LA,708,1234567890125120,4,zsxbringavcae@cbbtr.com,0,12,0,0,3373,11,1,0,1,1,0,1434,1,3
38.85,9,IL,603,1234567890147710,2,dyukaqhwhymxp@sbcglobal.net,0,9,0,38.85,1348,21,0,0,1,1,0,1,0,33
38.85,20,MD,206,1234567890128440,3,pyubxtgjbrrxp1@comcast.net,0,20,1,38.85,364,19,0,0,1,0,0,1,0,98
12.95,11,KS,661,1234567890131410,3,zsguaokwsfkjl@mail.sprint.com,1,11,0,12.95,4975,27,0,0,1,1,0,1,0,13
12.95,16,NE,680,1234567890139310,3,tkghespliohnq@qwest.net,1,16,0,12.95,-14460,18,0,0,0,0,0,3,1,36
38.85,10,CA,945,1234567890127080,3,zqlcuxvuxpozn707@comcast.net,1,10,1,38.85,1192,11,0,0,0,0,0,1,1,35
12.95,5,GA,303,1234567890176960,1,tppnxsqimmfwo@mindspring.com,0,5,1,12.95,958,7,0,0,1,1,0,1,0,71
49.95,14,NH,32,1234567890132570,2,gextmhzinarfl@hotmail.com,0,14,0,49.95,-1059,26,0,0,0,0,0,1,0,14
49.95,22,CA,954,1234567890175750,3,gjxuhjdczmfua@comcast.net,1,22,0,49.95,5147,8,0,1,1,1,0,2,0,69
12.95,11,PA,195,1234567890138840,2,ywwkrqwrwgqiy@quusauwtiff.com,0,11,1,12.95,-1667,6,0,0,1,0,0,1,1,22
38.85,19,NY,112,1234567890176710,2,slkhrwdqoxvxt51680@yahoo.com,1,19,1,38.85,5814,9,0,0,1,1,0,2,0,70
0,9,LA,701,1234567890137500,4,zwzihwgzxohnq@cbbtr.com,1,9,1,**,-6595,10,0,1,1,1,0,3278,1,21
49.95,18,FL,331,1234567890143240,2,kfeejjukghyfy@stis.net,0,18,0,49.95,1009,16,0,0,1,1,0,2,0,27
38.85,20,TX,799,1234567890179670,3,ixwiywvigqmtd@elp.rr.com,0,20,0,38.85,5882,21,0,0,0,0,0,1,0,74
12.95,9,FL,330,1234567890154730,3,zhcyyhppfxbht@quixnet.net,1,9,1,12.95,1896,9,0,0,0,0,1,2,1,42
12.95,19,VA,236,1234567890165160,3,lfvgjxystgnua@yahoo.com,1,19,1,12.95,4237,7,0,0,1,0,0,1,0,55
0,16,LA,703,1234567890166770,4,pugrmyvovmvyp@cbbtr.com,1,16,1,0,845,10,0,0,1,1,0,364,1,57
,11,UT,840,1234567890165990,3,cyhqavahlxgiq73@msn.com,0,11,1,38.85,5471,20,0,0,1,1,0,1,0,93
31.08,16,FL,347,1234567890150690,3,boguabkmwffwi@earthlink.net,1,16,0,31.08,-3325,10,0,0,0,0,0,2,0,36
0,15,LA,708,1234567890182580,4,zwzihwgzxohnq@cbbtr.com,1,15,0,0,-1471,12,0,0,1,1,0,3278,1,78
12.95,13,HI,967,1234567890154160,3,nlzufwekgdlom@ivoxtzrltxnsb.net,0,13,0,12.95,6532,24,1,0,0,0,0,1,0,41
49.95,14,FL,335,1234567890189510,2,evvvnaxgbotqf@hotmail.com,0,14,1,49.95,2801,8,0,0,0,0,0,1,1,88
49.95,15,NM,871,1234567890130860,2,khnjlqkodieul@mac.com,0,15,1,**,-8272,8,0,0,0,0,0,1,0,12
12.95,18,IA,520,1234567890187220,2,omklyvrsargul@hotmail.com,0,18,0,12.95,5099,19,0,0,1,1,0,1,0,84
12.95,14,FL,323,1234567890160310,0,irqtmtdtkleap@aol.com,1,14,1,12.95,2521,10,0,0,0,0,0,3,0,49
12.95,1,CA,910,1234567890140460,3,qlhngcbirjnkp@alumni.usc.edu,0,1,1,12.95,547,6,1,0,1,0,0,1,1,24
38.85,16,NJ,88,1234567890193570,2,stvemkiwteaeg@optonline.net,0,16,0,38.85,765,26,0,0,1,1,0,1,0,93
12.95,4,OR,970,1234567890167820,3,lcdrhumahthwl@hotmail.com,1,4,1,12.95,2845,10,0,0,0,0,0,1,1,59
38.85,8,VA,221,1234567890151030,3,gcdmwxwiqhjgb@msn.com,1,8,1,38.85,-8156,8,0,0,0,0,0,3,0,37
38.85,16,MA,20,1234567890170200,3,fntfdprpyoztr1205@aol.com,0,16,1,38.85,-167,11,0,1,1,1,0,1,0,62
25.9,15,CA,936,1234567890178150,3,pgbtukiccygem@aol.com,0,15,0,25.9,3472,17,0,0,1,1,0,1,0,72
11.65,17,NJ,76,1234567890141000,3,rtaiqtwtyllsb174@aol.com,0,17,0,11.65,-5587,16,0,0,0,1,0,2,0,24
10.36,12,VA,223,1234567890127200,3,ouekcnrdubsyz@homestretch-inc.org,1,12,0,10.36,-6335,10,0,0,0,0,0,100,1,77
12.95,23,IL,616,1234567890130460,2,ufzaxerdruyza9@aol.com,1,23,0,12.95,1284,13,0,0,1,1,0,1,0,11
38.85,18,NE,685,1234567890146730,1,avunliiccpezx@juno.com,1,18,0,38.85,33,19,0,0,1,1,0,1,0,31
49.95,10,FL,324,1234567890160900,3,rlygixrbmxlsw@illfkuk.com,0,10,0,49.95,2985,17,0,0,1,0,0,1,0,50
38.85,9,NY,117,1234567890185260,3,xligvvmqmvqpb@optonline.net,0,9,0,38.85,3063,19,1,0,0,1,0,2,0,82
38.85,7,RI,29,1234567890187750,2,vbaqmanlslzpo@netscape.net,0,7,0,38.85,-2165,20,0,0,1,1,0,1,0,85
10.36,12,CA,900,1234567890146940,0,gelqecnhwhkmb2@yahoo.com,0,12,1,10.36,-2997,7,0,0,1,1,0,1,0,41
49.95,18,VA,225,1234567890170320,3,lqnyxjofcnmgt1@yahoo.com,1,18,0,49.95,-3258,17,0,0,1,1,0,1,0,62
38.85,22,NY,110,1234567890144490,3,jzxwmlssjftic50@aol.com,1,22,0,**,-5708,15,0,0,0,0,0,1,0,28
12.95,12,CA,920,1234567890138850,0,hlqffejjoysty@fztoel.com,0,12,1,12.95,-2762,8,0,0,0,0,0,1,0,48
38.85,12,NY,105,1234567890154110,2,tysxdzdaoidhs4068@aol.com,1,13,0,38.85,-3162,18,1,0,0,0,0,1,0,41
38.85,11,AZ,852,1234567890190040,3,dicgopqnjnbhv@qwest.net,1,11,0,38.85,-5217,22,0,0,0,0,0,1,0,89
38.85,10,GA,302,1234567890125020,3,qywxgyhkcbzbj@bellsouth.net,0,10,0,38.85,-6976,18,0,0,1,1,0,1,0,3
38.85,16,CA,939,1234567890168320,3,wvpjctmrdkthb@cvghpjerz.net,0,16,1,38.85,-554,10,0,0,0,0,0,1,1,59
10.36,11,GA,314,1234567890124370,3,lkjzcvmmsvaur@comcast.net,0,11,1,10.36,2341,6,0,0,0,0,0,2,1,91
38.85,9,TX,770,1234567890188720,0,fwxxmladhtilt@qifw.com,0,9,1,38.85,-5279,7,0,0,0,0,0,1,0,87
38.85,17,WA,981,1234567890175490,2,qnatbqdngbnef@yahoo.com,0,17,0,38.85,249,19,0,0,1,1,0,1,0,69
12.95,7,PA,174,1234567890144610,2,rzvowzqnxsbyx@aol.com,0,7,1,12.95,912,10,0,0,0,0,0,1,0,29
25.9,17,NJ,80,1234567890176560,2,itootyuqjbouu@hotmail.com,0,17,0,25.9,-1122,21,0,0,1,1,0,1,0,70
12.95,17,CA,920,1234567890149980,3,ixhkuerllitft@clintmiller.com,0,17,1,12.95,-5426,7,0,0,0,1,0,2,1,91
31.08,10,AR,720,1234567890172240,3,sfpkuffeovcww@earthlink.net,1,10,1,31.08,-276,7,0,0,1,0,0,2,0,84
31.08,18,NY,112,1234567890149930,2,jerhtasewydxq@guqdbiitxemxi.com,0,18,1,31.08,4588,7,1,0,0,0,0,1,0,35
0,14,TN,374,1234567890176340,4,antihyknzxmva@choicedata.com,0,14,0,0,184,9,0,0,1,1,0,1643,1,70
31.08,19,TX,776,1234567890168460,3,swdjuxdlitmij@gt.rr.com,0,19,0,31.08,5185,12,0,0,0,1,0,3,0,59
12.95,22,NC,270,1234567890151330,3,dsniuysawxyfz@yahoo.com,0,22,0,12.95,3629,16,0,0,0,0,0,1,0,37
38.85,17,IL,600,1234567890127380,0,woyyowgeaifzg@hotmail.com,0,17,1,38.85,2825,8,0,0,0,0,0,1,0,7
12.95,18,GA,303,1234567890139280,2,ytfhgpzzocbjb@remax.net,0,18,0,12.95,-2774,22,0,0,1,1,0,1,0,22
0,14,LA,708,1234567890162890,4,zwzihwgzxohnq@cbbtr.com,1,14,0,0,950,14,1,0,1,1,0,3278,1,52
10.36,14,OR,970,1234567890156040,2,pgeomwuztkptc@kds3.com,0,14,1,10.36,562,15,1,0,0,0,0,1,0,57
38.85,21,WY,829,1234567890134620,3,yxfpmrhxrrsbd@wyoming.com,0,21,0,**,-1386,17,0,0,1,1,0,1,0,16
38.85,11,NY,128,1234567890137520,3,egxeyggevlchq41@nycap.rr.com,0,11,1,38.85,-1717,19,0,0,1,1,0,1,0,92
38.85,9,FL,325,1234567890166390,2,omipgoipnnmam@psmoju.af,0,9,0,38.85,-470,27,0,0,1,1,0,1,0,57
49.95,23,CA,902,1234567890175790,0,xofjxauaewzha@adelphia.net,1,23,0,49.95,2638,11,0,0,1,1,0,1,0,69
12.95,12,AZ,850,1234567890178750,3,fygskvlvftfkb8@msn.com,1,12,0,12.95,796,16,0,0,0,0,0,1,0,73
25.9,19,CA,920,1234567890172520,3,ncoalsyygsppm@aol.com,0,19,1,25.9,-4823,9,0,0,1,1,0,2,0,65
10.36,11,MN,559,1234567890155740,3,dxocenmcjfgdc1701@earthlink.net,0,11,0,10.36,3423,7,0,0,0,0,0,1,0,43
38.85,12,NY,125,1234567890177230,3,arbfnwpezilxw9@aol.com,0,12,0,38.85,594,6,0,0,0,0,0,3,0,71
12.95,16,VA,223,1234567890183500,2,inaytpglrtnfw8@yahoo.com,0,16,1,12.95,4635,6,1,0,1,1,0,1,0,79
12.95,17,NC,280,1234567890180940,2,xwabihodjufit@oqoerpqcixwrh.com,0,17,0,12.95,1684,24,0,0,0,0,0,1,0,76
12.95,19,PA,191,1234567890192980,3,llpyxsztbgiak@aol.com,0,19,0,12.95,845,10,0,0,0,0,0,1,0,92
38.85,17,NY,136,1234567890192030,3,rurogxqbvyvbv4@yahoo.com,1,17,0,**,5487,18,0,0,1,0,0,1,0,91
12.95,13,OK,748,1234567890191830,2,irfrgxrfhceqw@yahoo.com,1,13,0,12.95,-7265,21,0,0,1,1,0,1,0,91
12.95,22,PA,170,1234567890183790,0,hqwooywjpgrnt123@comcast.net,0,22,0,12.95,35,23,0,0,1,0,0,1,0,79
10.36,12,MI,483,1234567890149500,3,fzlvgwwrmvrak@yahoo.com,0,12,1,10.36,-1393,18,0,0,1,0,0,1,0,35
38.85,15,CT,64,1234567890144040,2,wuniuarahwrhd@aol.com,0,15,0,38.85,-7082,17,0,0,1,1,1,1,0,28
12.95,12,FL,331,1234567890132960,3,bcxrigamckgyl69@yahoo.com,0,12,1,12.95,2218,19,0,0,0,0,0,1,0,83
11.01,6,KY,403,1234567890178500,3,jzfmvqmriarev@netzero.com,1,6,1,11.01,2925,8,0,0,1,0,0,2,0,73
12.95,9,NJ,70,1234567890179880,3,nyzbunvkchgua@yahoo.com,1,9,0,12.95,3019,24,0,0,1,0,0,1,1,75
12.95,22,CA,908,1234567890135360,2,whbivichaolus13@aol.com,1,22,1,12.95,3256,10,0,0,1,0,0,1,0,17
12.95,23,CA,923,1234567890134690,3,bvyqjjoufsxjq@aol.com,1,23,1,12.95,3797,14,1,0,1,0,0,1,0,16
12.95,1,CT,65,1234567890135410,2,czrjxteqylhac@sbcglobal.net,0,1,1,**,3752,9,0,0,0,0,0,1,1,18
12.95,10,NY,100,1234567890180560,3,tjvdaieyfmszx@hotmail.com,0,10,0,12.95,5866,12,0,0,1,0,0,1,0,76
25.9,12,CA,930,1234567890193410,3,cnmyfowlrpris196@sbcglobal.net,0,12,1,25.9,4384,20,1,0,1,1,0,1,0,93
10.36,0,NY,113,1234567890136010,2,ezqjyymtrgvds@gmail.com,0,0,0,**,5934,22,0,0,0,1,0,1,1,19
31.08,13,FL,331,1234567890184170,3,aubdoczfiopsd99@yahoo.com,0,13,0,31.08,3629,18,1,0,1,0,0,1,0,80
38.85,13,CA,958,1234567890142900,2,oukmnfgxtonoh@comcast.net,1,13,1,38.85,-6039,7,0,0,0,0,0,1,0,50
49.95,14,FL,331,1234567890182510,3,mlbahanzkehxi@dadeschools.net,1,14,0,49.95,-4445,26,0,0,1,0,0,1,0,78
49.95,16,CA,927,1234567890159480,2,wotaovcoewdkk@gte.net,0,16,1,49.95,-6858,10,0,0,1,1,0,1,0,89
31.08,15,MI,481,1234567890147200,3,hzchaenncqndf74@wowway.com,0,15,1,31.08,3846,18,0,0,1,1,0,1,0,52
0,8,FL,323,1234567890159980,4,qcosrkuucvhwq@cbbtr.com,1,8,0,0,-8291,12,1,0,1,1,0,373,1,49
38.85,3,CA,950,1234567890137430,3,sakdxpnmzjvsl@gmail.com,0,3,0,**,1315,23,0,0,1,1,0,1,0,21
12.95,18,IL,605,1234567890185590,3,agnfijjhwbvib11@aol.com,0,18,1,12.95,787,7,0,0,0,0,0,1,0,82
